agency_name,response_count,agency_name_display,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams
many rivers whole health,12,Many Rivers Whole Health,work:5 | systems:4 | clients:4 | experience:3 | learned:2 | intakes:2 | supervision:2 | people:2 | learn:2 | coordination:2 | debrief:2 | see:2 | practicum:2 | biggest:2 | help:2 | exposure:2 | case:2 | management:2 | gave:2 | better:2,case management:2 | better sense:2 | learned intakes:1 | intakes structure:1 | structure uneven:1 | uneven times:1 | supervision consistent:1 | strong supervision:1 | supervision preble:1 | engaged people:1 | people field:1 | field distance:1 | distance learning:1 | learning isolating:1 | isolating connecting:1,agency:5 | experience:2 | fewer:2 | tasks:2 | needed:2 | than:2 | shadowing:2 | depended:1 | week:1 | available:1 | slow:1 | periods:1 | rivers:1 | whole:1 | health:1 | struggling:1 | various:1 | reasons:1 | say:1 | educational:1,experience depended:1 | depended week:1 | week available:1 | slow periods:1 | periods fewer:1 | fewer tasks:1 | rivers whole:1 | whole health:1 | health struggling:1 | struggling agency:1 | agency various:1 | various reasons:1 | reasons say:1 | say educational:1 | educational watch:1
mental health coalition of teton valley,4,Mental Health Coalition Of Teton Valley,practicum:3 | real:2 | practice:2 | appreciated:1 | learn:1 | crisis:1 | support:1 | resource:1 | referrals:1 | debrief:1 | educational:1 | agency:1 | supervision:1 | sara:1 | review:1 | happened:1 | week:1 | ask:1 | questions:1 | field:1,appreciated learn:1 | learn crisis:1 | crisis support:1 | support resource:1 | resource referrals:1 | referrals debrief:1 | educational practicum:1 | practicum practicum:1 | practicum agency:1 | agency supervision:1 | supervision sara:1 | sara review:1 | review happened:1 | happened week:1 | week ask:1,client:3 | wasn:2 | educational:2 | lack:2 | theories:2 | didn:2 | work:2 | check:1 | ins:1 | steady:1 | enough:1 | amount:1 | responsibility:1 | wouldn:1 | describe:1 | truly:1 | unhelpful:1 | opportunities:1 | further:1 | explore:1,client work:2 | check ins:1 | ins steady:1 | steady enough:1 | enough amount:1 | amount responsibility:1 | wasn educational:1 | educational wouldn:1 | wouldn describe:1 | describe truly:1 | truly unhelpful:1 | unhelpful educational:1 | educational lack:1 | lack opportunities:1 | opportunities further:1
missoula aging services,9,Missoula Aging Services,learn:3 | meetings:3 | coordination:2 | debrief:2 | experience:2 | out:2 | supervision:2 | practice:2 | client:2 | appreciated:2 | documentation:2 | support:2 | non:2 | profit:2 | administration:2 | practicum:2 | line:2 | safety:1 | planning:1 | court:1,non profit:2 | profit administration:2 | learn safety:1 | safety planning:1 | planning court:1 | court related:1 | related prep:1 | prep cps:1 | cps coordination:1 | coordination debrief:1 | gaining experience:1 | experience population:1 | population like:1 | like work:1 | work pushing:1,hardest:3 | work:3 | practice:2 | too:2 | tasks:2 | practicum:2 | position:2 | bit:2 | valuable:2 | experience:2 | shadowing:1 | needed:1 | chances:1 | try:1 | skills:1 | inconsistent:1 | supervision:1 | documentation:1 | took:1 | away:1,valuable experience:2 | hardest shadowing:1 | shadowing needed:1 | inconsistent supervision:1 | documentation took:1 | took away:1 | away direct:1 | direct practice:1 | practice work:1 | work administrative:1 | administrative than:1 | than expected:1 | honestly stands:1 | stands out:1 | out unhelpful:1
missoula alliance church,7,Missoula Alliance Church,community:3 | work:3 | biggest:2 | help:2 | planning:2 | supervision:2 | management:2 | environment:2 | encouragement:2 | learning:2 | experience:2 | appreciated:2 | foster:2 | families:2 | learn:2 | debrief:2 | assessments:2 | clients:1 | tasks:1 | discharge:1,help clients:1 | clients tasks:1 | tasks discharge:1 | discharge planning:1 | planning chart:1 | chart review:1 | review taught:1 | taught than:1 | than structure:1 | supervision staff:1 | staff management:1 | management extremely:1 | extremely environment:1 | environment encouragement:1 | encouragement learning:1,times:3 | one:2 | too:2 | practice:2 | expectations:2 | hardest:2 | frustration:1 | admin:1 | work:1 | enough:1 | hands:1 | say:1 | less:1 | structure:1 | actual:1 | services:1 | roles:1 | rules:1 | confusing:1 | think:1,frustration too:1 | too admin:1 | admin work:1 | one say:1 | say less:1 | less structure:1 | structure actual:1 | actual services:1 | services roles:1 | roles expectations:1 | expectations rules:1 | rules confusing:1 | confusing think:1 | think structured:1 | structured policies:1
missoula city county health department,5,Missoula City County Health Department,helped:4 | community:2 | practice:2 | resource:2 | great:1 | opportunity:1 | interview:1 | various:1 | stakeholders:1 | missoula:1 | intakes:1 | experience:1 | supervision:1 | connected:1 | classroom:1 | learning:1 | appreciated:1 | work:1 | iep:1 | meetings:1,great opportunity:1 | opportunity interview:1 | interview various:1 | various stakeholders:1 | stakeholders missoula:1 | missoula community:1 | intakes experience:1 | experience supervision:1 | supervision connected:1 | connected classroom:1 | classroom learning:1 | learning practice:1 | appreciated work:1 | work iep:1 | iep meetings:1,practice:2 | downtime:1 | interesting:1 | having:1 | supervisor:1 | social:1 | worker:1 | placement:1 | improve:1 | onboarding:1 | students:1 | wanted:1 | little:1 | independent:1 | documentation:1 | burden:1 | manageable:1 | reduce:1 | flexibility:1 | learning:1,downtime interesting:1 | interesting having:1 | having supervisor:1 | supervisor social:1 | social worker:1 | placement improve:1 | improve onboarding:1 | onboarding students:1 | wanted little:1 | little independent:1 | independent practice:1 | documentation burden:1 | burden manageable:1 | manageable reduce:1 | reduce flexibility:1
missoula county public schools,7,Missoula County Public Schools,practice:4 | work:3 | crisis:3 | gave:3 | assessment:3 | able:2 | intervention:2 | direct:2 | supervision:2 | like:2 | clients:1 | meaningful:1 | experience:1 | safety:1 | planning:1 | reflective:1 | reinforced:1 | person:1 | environment:1 | perspective:1,crisis intervention:2 | direct practice:2 | able work:1 | work clients:1 | intervention work:1 | work gave:1 | gave meaningful:1 | meaningful direct:1 | practice experience:1 | experience assessment:1 | assessment safety:1 | safety planning:1 | planning reflective:1 | reflective supervision:1 | supervision reinforced:1,lack:2 | supervision:2 | technology:2 | barriers:2 | remote:2 | systems:2 | occasionally:2 | communication:2 | less:2 | efficient:2 | week:2 | support:1 | consistent:1 | school:1 | system:1 | pretty:1 | chaotic:1 | able:1 | help:1 | hard:1,technology barriers:2 | barriers remote:2 | remote systems:2 | systems occasionally:2 | occasionally communication:2 | communication less:2 | less efficient:2 | lack supervision:1 | supervision lack:1 | lack support:1 | supervision consistent:1 | consistent week:1 | week week:1 | school system:1 | system pretty:1
missoula early head start,9,Missoula Early Head Start,learning:3 | practice:3 | appreciated:3 | enough:2 | build:2 | skills:2 | feedback:2 | work:2 | showed:2 | groups:2 | school:2 | included:2 | instead:2 | observing:2 | crisis:2 | response:2 | helped:2 | placement:1 | provide:1 | structure:1,crisis response:2 | placement provide:1 | provide enough:1 | enough structure:1 | structure enough:1 | enough client:1 | client contact:1 | contact build:1 | build skills:1 | skills wanted:1 | wanted defined:1 | defined tasks:1 | tasks clearer:1 | clearer learning:1 | learning goals:1,practice:3 | harder:3 | workflow:2 | changed:2 | quickly:2 | planning:2 | mostly:1 | shadowing:1 | limited:1 | direct:1 | difficulty:1 | getting:1 | feedback:1 | needed:1 | onboarding:1 | process:1 | clearer:1 | policy:1 | work:1 | understand:1,workflow changed:2 | changed quickly:2 | quickly planning:2 | planning harder:2 | mostly shadowing:1 | shadowing limited:1 | limited direct:1 | direct practice:1 | practice difficulty:1 | difficulty getting:1 | getting feedback:1 | feedback needed:1 | needed onboarding:1 | onboarding process:1 | process clearer:1
missoula food bank,14,Missoula Food Bank,work:8 | systems:4 | clients:4 | documentation:3 | community:3 | meetings:3 | helped:3 | different:3 | appreciated:2 | exposure:2 | biggest:2 | help:2 | testimony:2 | prep:2 | stakeholder:2 | build:2 | confidence:2 | levels:2 | practice:2 | able:2,community testimony:2 | testimony prep:2 | stakeholder meetings:2 | build confidence:2 | able work:2 | work clients:2 | clients feeling:2 | feeling supported:2 | social work:2 | appreciated real:1 | real exposure:1 | exposure documentation:1 | documentation case:1 | case management:1 | help work:1,went:3 | work:3 | fewer:2 | tasks:2 | educational:2 | times:2 | first:2 | hardest:2 | paperwork:2 | instead:2 | actual:2 | practice:2 | msw:2 | honestly:1 | needed:1 | client:1 | contact:1 | office:1 | practicum:1 | reactive:1,hardest went:2 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | honestly needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | tasks practicum:1 | practicum reactive:1 | reactive than:1 | than educational:1 | too went:1
missoula interfaith collaborative,45,Missoula Interfaith Collaborative,work:16 | practice:16 | helped:11 | confidence:10 | documentation:10 | appreciated:9 | community:9 | meetings:9 | build:9 | experience:9 | biggest:8 | help:8 | getting:8 | program:7 | planning:7 | feedback:7 | hands:7 | policy:6 | exposure:6 | assessments:6,build confidence:8 | getting hands:7 | hands experience:7 | experience chances:5 | chances documentation:5 | documentation observe:5 | observe assessments:5 | assessments build:5 | helped understand:4 | gave useful:4 | useful feedback:4 | feedback explained:4 | explained why:4 | why behind:4 | behind work:4,work:9 | needed:8 | practice:7 | times:7 | enough:6 | practicum:5 | too:5 | weeks:5 | scheduling:5 | difficult:5 | honestly:4 | admin:4 | hands:4 | hardest:4 | housing:4 | educational:3 | instead:3 | one:3 | systems:3 | than:3,too admin:4 | admin work:4 | scheduling difficult:4 | difficult times:4 | first weeks:3 | weeks unstructured:3 | client contact:3 | onboarding process:3 | process clearer:3 | wanted direct:2 | direct practice:2 | practice instead:2 | instead mostly:2 | mostly observation:2 | weeks observational:2
missoula municipal court,9,Missoula Municipal Court,learning:4 | support:4 | community:3 | work:3 | enough:3 | social:2 | brought:2 | partnerships:2 | instead:2 | doing:2 | tasks:2 | helped:2 | systems:2 | experience:2 | policy:2 | having:2 | great:2 | build:2 | appreciated:2 | feedback:2,community partnerships:2 | instead doing:2 | doing support:2 | support tasks:2 | valued learning:1 | learning community:1 | community organization:1 | organization capacity:1 | capacity building:1 | building create:1 | create change:1 | change beyond:1 | beyond individual:1 | individual cases:1 | cases connected:1,inconsistent:2 | projects:1 | shifted:1 | fully:1 | developed:1 | communication:1 | across:1 | staff:1 | one:1 | frustration:1 | liked:1 | consistency:1 | early:1 | received:1 | less:1 | practice:1 | key:1 | areas:1 | associated:1 | expected:1,projects shifted:1 | shifted fully:1 | fully developed:1 | communication across:1 | across staff:1 | staff inconsistent:1 | frustration liked:1 | liked consistency:1 | consistency early:1 | received less:1 | less practice:1 | practice key:1 | key areas:1 | areas associated:1 | associated expected:1
missoula parks and recreation,9,Missoula Parks And Recreation,helped:4 | meetings:3 | planning:3 | included:2 | confidence:2 | documentation:2 | worked:2 | support:2 | practice:2 | safety:2 | getting:1 | hands:1 | experience:1 | regular:1 | check:1 | ins:1 | gained:1 | rapport:1 | treatment:1 | people:1,safety planning:2 | getting hands:1 | hands experience:1 | experience included:1 | included meetings:1 | meetings regular:1 | regular check:1 | check ins:1 | ins gained:1 | gained confidence:1 | confidence documentation:1 | documentation rapport:1 | rapport treatment:1 | treatment planning:1 | people worked:1,hardest:2 | shadowing:2 | first:1 | weeks:1 | unstructured:1 | needing:1 | manage:1 | behavior:1 | large:1 | groups:1 | children:1 | difficult:1 | provide:1 | individual:1 | trauma:1 | informed:1 | focus:1 | none:1 | needed:1 | chances:1,first weeks:1 | weeks unstructured:1 | needing manage:1 | manage behavior:1 | behavior large:1 | large groups:1 | groups children:1 | children difficult:1 | difficult provide:1 | provide individual:1 | individual trauma:1 | trauma informed:1 | informed focus:1 | hardest shadowing:1 | shadowing needed:1
missoula police department,18,Missoula Police Department,work:7 | practice:6 | clients:6 | community:5 | support:5 | helped:4 | biggest:4 | help:4 | exposure:4 | appreciated:3 | planning:3 | understand:3 | systems:3 | learning:3 | meetings:3 | coordination:2 | family:2 | connect:2 | class:2 | content:2,helped understand:3 | connect class:2 | class content:2 | content practice:2 | actually see:2 | see classroom:2 | classroom material:2 | material shows:2 | shows practicum:2 | appreciated learn:2 | community based:2 | based work:2 | work helped:2 | understand barriers:2 | barriers clients:2,needed:4 | practice:4 | times:4 | too:3 | admin:3 | work:3 | enough:3 | hands:3 | difficult:3 | hardest:2 | learning:2 | than:2 | educational:2 | learned:2 | opportunities:2 | clearer:2 | scheduling:2 | skills:2 | client:1 | contact:1,too admin:3 | admin work:3 | scheduling difficult:2 | difficult times:2 | hardest needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | difficult competent:1 | competent months:1 | months here:1 | here learning:1 | learning curve:1 | curve think:1
missoula public library,8,Missoula Public Library,work:4 | helped:3 | planning:3 | learned:3 | community:2 | systems:2 | together:2 | resource:2 | support:2 | exposure:1 | resources:1 | navigation:1 | placement:1 | practical:1 | see:1 | assessment:1 | intervention:1 | evaluation:1 | documentation:1 | safety:1,work together:2 | exposure community:1 | community resources:1 | resources systems:1 | systems navigation:1 | navigation placement:1 | placement practical:1 | practical see:1 | see assessment:1 | assessment intervention:1 | intervention evaluation:1 | evaluation work:1 | helped work:1 | work documentation:1 | documentation safety:1,one:2 | frustration:2 | practicum:2 | too:2 | workflow:1 | changed:1 | quickly:1 | planning:1 | harder:1 | structure:1 | uneven:1 | early:1 | short:1 | city:1 | email:1 | contact:1 | information:1 | associated:1 | crisis:1 | pace:1,frustration workflow:1 | workflow changed:1 | changed quickly:1 | quickly planning:1 | planning harder:1 | structure uneven:1 | uneven early:1 | short practicum:1 | practicum city:1 | city email:1 | email contact:1 | contact information:1 | information associated:1 | associated practicum:1 | crisis pace:1
missoula senior citizens center,9,Missoula Senior Citizens Center,gave:4 | practice:4 | helped:4 | like:2 | meetings:2 | connected:2 | debriefing:2 | experience:2 | understand:2 | client:2 | resource:2 | referrals:2 | mezzo:2 | macro:2 | placement:1 | room:1 | grow:1 | included:1 | regular:1 | check:1,helped understand:2 | resource referrals:2 | mezzo macro:2 | macro practice:2 | like placement:1 | placement gave:1 | gave room:1 | room grow:1 | grow included:1 | included meetings:1 | meetings regular:1 | regular check:1 | check ins:1 | ins liked:1 | liked seeing:1,clearer:2 | work:2 | slow:1 | periods:1 | fewer:1 | tasks:1 | learning:1 | plan:1 | start:1 | help:1 | too:1 | admin:1 | enough:1 | hands:1 | practice:1 | limited:1 | opportunity:1 | deeper:1 | counseling:1 | therapeutic:1,slow periods:1 | periods fewer:1 | fewer tasks:1 | clearer learning:1 | learning plan:1 | plan start:1 | start help:1 | too admin:1 | admin work:1 | limited opportunity:1 | opportunity deeper:1 | deeper counseling:1 | counseling therapeutic:1 | therapeutic work:1 | onboarding process:1
montana 10,22,Montana 10,work:9 | helped:6 | community:6 | supervision:5 | instead:4 | learn:4 | one:4 | resource:4 | support:4 | appreciated:3 | meetings:3 | coordination:3 | environment:3 | allowed:3 | students:3 | learning:3 | referrals:3 | biggest:3 | help:3 | tasks:3,one one:2 | shift huddles:2 | huddles instead:2 | instead doing:2 | doing support:2 | support tasks:2 | resource referrals:2 | getting work:2 | appreciated included:1 | included partnership:1 | partnership meetings:1 | meetings health:1 | health fairs:1 | fairs instead:1 | understand programs:1,needed:5 | hardest:4 | fewer:4 | tasks:4 | experience:4 | too:3 | enough:3 | practice:3 | weeks:3 | opportunities:3 | skills:3 | one:3 | frustration:3 | client:3 | contact:3 | office:3 | hands:2 | wanted:2 | than:2 | changes:2,client contact:3 | contact fewer:3 | fewer office:3 | office tasks:3 | shadowing needed:2 | frustration needed:2 | too admin:1 | admin work:1 | times expectations:1 | expectations clear:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1
montana innocence project,14,Montana Innocence Project,helped:7 | learning:3 | clients:3 | learned:3 | practice:3 | appreciated:3 | community:3 | work:3 | documentation:3 | planning:3 | support:3 | placement:2 | exposure:2 | services:2 | working:2 | help:2 | legal:2 | issues:2 | partnerships:2 | build:2,community partnerships:2 | build confidence:2 | committee meetings:2 | strengthened understanding:2 | understanding generalist:2 | generalist practice:2 | practice across:2 | across systems:2 | placement gave:1 | gave useful:1 | useful exposure:1 | exposure client:1 | client sessions:1 | sessions intakes:1 | learning research:1,too:3 | one:3 | frustration:3 | needed:3 | wasn:3 | admin:2 | tasks:2 | think:2 | work:2 | practice:2 | shadowing:2 | chances:2 | try:2 | skills:2 | social:2 | lack:1 | programming:1 | clients:1 | first:1 | weeks:1,too admin:2 | shadowing needed:2 | wasn social:2 | admin tasks:1 | lack programming:1 | programming clients:1 | first weeks:1 | weeks unstructured:1 | frustration too:1 | admin work:1 | practice hard:1 | hard grow:1 | grow structure:1 | structure loose:1 | hardest shadowing:1
montana judicial branch,6,Montana Judicial Branch,planning:3 | appreciated:2 | coordination:2 | learn:2 | debrief:2 | clients:2 | seeing:1 | discharge:1 | balances:1 | client:1 | needs:1 | systems:1 | barriers:1 | team:1 | recovery:1 | motivational:1 | interviewing:1 | group:1 | facilitation:1 | ability:1,appreciated seeing:1 | seeing discharge:1 | discharge planning:1 | planning balances:1 | balances client:1 | client needs:1 | needs systems:1 | systems barriers:1 | barriers team:1 | team coordination:1 | learn recovery:1 | recovery planning:1 | planning motivational:1 | motivational interviewing:1 | interviewing group:1,setting:1 | moved:1 | quickly:1 | moments:1 | wanted:1 | structured:1 | debriefing:1 | times:1 | too:1 | coverage:1 | gaps:1 | having:1 | depth:1 | meetings:1 | supervisor:1 | first:1 | weeks:1 | unstructured:1 | one:1 | frustration:1,setting moved:1 | moved quickly:1 | quickly moments:1 | moments wanted:1 | wanted structured:1 | structured debriefing:1 | times too:1 | too coverage:1 | coverage gaps:1 | having depth:1 | depth meetings:1 | meetings supervisor:1 | first weeks:1 | weeks unstructured:1 | frustration shadowing:1
montana native women's coalition,3,Montana Native Women's Coalition,biggest:1 | help:1 | brought:1 | community:1 | partnerships:1 | instead:1 | doing:1 | support:1 | tasks:1 | expose:1 | focus:1 | areas:1 | regarding:1 | stalking:1 | human:1 | trafficking:1 | dating:1 | violence:1 | mmip:1 | appreciated:1,help brought:1 | brought community:1 | community partnerships:1 | partnerships instead:1 | instead doing:1 | doing support:1 | support tasks:1 | expose focus:1 | focus areas:1 | areas regarding:1 | regarding stalking:1 | stalking human:1 | human trafficking:1 | trafficking dating:1 | dating violence:1,different:3 | wanted:2 | little:2 | independent:2 | practice:2 | having:2 | act:2 | programs:2 | say:2 | read:1 | law:1 | dictionary:1 | learn:1 | bunch:1 | material:1 | within:1 | short:1 | amount:1 | like:1 | barely:1,wanted little:2 | little independent:2 | independent practice:2 | having read:1 | read law:1 | law dictionary:1 | dictionary learn:1 | learn bunch:1 | bunch different:1 | different material:1 | material within:1 | within short:1 | short amount:1 | amount like:1 | like barely:1
montana state hospital,28,Montana State Hospital,helped:11 | work:11 | meetings:8 | community:7 | support:6 | practice:6 | resource:6 | confidence:5 | case:5 | build:4 | management:4 | meaningful:4 | appreciated:4 | referrals:4 | able:3 | understand:3 | hospital:3 | supervision:3 | macro:3 | family:3,helped build:4 | build confidence:4 | resource referrals:4 | connect class:3 | class content:3 | content practice:3 | case management:3 | helped work:2 | looks like:2 | macro practice:2 | capacity building:2 | family meetings:2 | self determination:2 | appreciated work:2 | work case:2,needed:7 | hardest:5 | practice:5 | contact:5 | office:5 | client:4 | fewer:4 | tasks:4 | wanted:4 | direct:3 | clients:3 | shadowing:3 | chances:3 | try:3 | skills:3 | too:2 | work:2 | liked:2 | weeks:2 | observational:2,client contact:4 | contact fewer:4 | fewer office:4 | office tasks:4 | direct practice:3 | shadowing needed:3 | hardest weeks:2 | weeks observational:2 | observational than:2 | than active:2 | hardest wanted:2 | wanted direct:2 | practice instead:2 | instead mostly:2 | mostly observation:2
mountain home montana,13,Mountain Home Montana,work:6 | practice:6 | assessment:3 | helped:3 | better:3 | clients:3 | help:3 | supervision:3 | appreciated:2 | case:2 | management:2 | direct:2 | see:2 | learning:2 | planning:2 | community:2 | understand:2 | gave:2 | sense:2 | biggest:2,case management:2 | direct practice:2 | helped understand:2 | gave better:2 | better sense:2 | family outreach:2 | appreciated trusted:1 | trusted assessment:1 | assessment work:1 | work seeing:1 | seeing assessment:1 | assessment informs:1 | informs case:1 | management direct:1 | practice see:1,client:2 | practice:2 | instead:2 | work:2 | documentation:1 | important:1 | occasionally:1 | overshadowed:1 | interaction:1 | starting:1 | rcc:1 | position:1 | covering:1 | overnight:1 | weekend:1 | shifts:1 | pretty:1 | separate:1 | programming:1 | site:1,documentation important:1 | important occasionally:1 | occasionally overshadowed:1 | overshadowed client:1 | client interaction:1 | starting rcc:1 | rcc position:1 | position covering:1 | covering overnight:1 | overnight weekend:1 | weekend shifts:1 | shifts pretty:1 | pretty separate:1 | separate programming:1 | programming site:1
nasw montana,21,Nasw Montana,work:8 | gave:7 | learned:6 | assessment:6 | supervision:5 | planning:5 | experience:4 | helped:4 | meetings:4 | able:4 | structure:4 | feedback:4 | placement:3 | systems:3 | opportunities:3 | uneven:3 | actually:3 | learn:3 | head:3 | start:3,head start:3 | learned supervision:2 | supervision actually:2 | actually happened:2 | happened schedule:2 | school district:2 | structure uneven:2 | uneven times:2 | experience assessment:2 | like placement:2 | placement gave:2 | gave room:2 | room grow:2 | grow gave:2 | gave useful:2,see:5 | plans:4 | wanted:4 | needed:4 | one:4 | job:4 | practice:4 | work:3 | limited:3 | clearer:3 | plan:3 | intervention:3 | learning:3 | used:3 | able:3 | office:3 | tasks:3 | start:3 | agency:3 | onboarding:2,onboarding process:2 | process clearer:2 | intervention plans:2 | able see:2 | client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | too admin:2 | admin work:2 | pace crisis:1 | crisis work:1 | work intense:1 | intense limited:1 | limited reflection:1
"new day, inc",4,"New Day, Inc.",practice:3 | work:2 | able:1 | quickly:1 | identify:1 | areas:1 | need:1 | competent:1 | valued:1 | agency:1 | expected:1 | know:1 | everything:1 | greeted:1 | fulfilling:1 | learning:1 | opportunities:1 | strong:1 | support:1 | chances:1,able quickly:1 | quickly identify:1 | identify areas:1 | areas need:1 | need competent:1 | competent valued:1 | valued agency:1 | agency expected:1 | expected know:1 | know everything:1 | everything greeted:1 | greeted fulfilling:1 | fulfilling learning:1 | learning opportunities:1 | strong support:1,like:1 | wasn:1 | structured:1 | communication:1 | channel:1 | procedures:1 | student:1 | interns:1 | agency:1 | supervisors:1 | considerate:1 | feedback:1 | listened:1 | concerns:1 | openly:1 | slow:1 | periods:1 | fewer:1 | tasks:1 | frequent:1,like wasn:1 | wasn structured:1 | structured communication:1 | communication channel:1 | channel procedures:1 | procedures student:1 | student interns:1 | interns agency:1 | agency supervisors:1 | supervisors considerate:1 | considerate feedback:1 | feedback listened:1 | listened concerns:1 | concerns openly:1 | slow periods:1
office of the state public defender,11,Office Of The State Public Defender,helped:5 | community:4 | practice:3 | policy:3 | systems:3 | perspective:3 | social:3 | advocacy:2 | seeing:2 | planning:2 | ability:2 | learn:2 | clients:2 | working:2 | interdisciplinary:2 | team:2 | understand:2 | work:2 | within:2 | meetings:2,helped understand:2 | social work:2 | included advocacy:1 | advocacy community:1 | community referrals:1 | referrals instead:1 | observing learning:1 | learning agreement:1 | agreement less:1 | less abstract:1 | seeing data:1 | data planning:1 | planning community:1 | community input:1 | input came:1,learning:3 | meet:3 | role:2 | wanted:2 | goals:2 | student:2 | university:2 | agreement:2 | new:2 | communication:1 | structure:1 | lacking:1 | tasks:1 | assigned:1 | out:1 | scope:1 | provided:1 | platform:1 | opportunity:1 | self:1,learning agreement:2 | communication structure:1 | structure lacking:1 | tasks assigned:1 | assigned out:1 | out scope:1 | scope provided:1 | provided platform:1 | platform opportunity:1 | opportunity self:1 | self advocate:1 | advocate educate:1 | educate colleagues:1 | colleagues role:1 | role social:1
on target aba,5,On Target Aba,aba:2 | staff:2 | families:2 | case:2 | team:2 | debriefing:2 | planning:2 | one:1 | educational:1 | aspects:1 | practicum:1 | target:1 | gaining:1 | deeper:1 | understanding:1 | implement:1 | trauma:1 | informed:1 | care:1 | motivational:1,one educational:1 | educational aspects:1 | aspects practicum:1 | practicum target:1 | target aba:1 | aba gaining:1 | gaining deeper:1 | deeper understanding:1 | understanding implement:1 | implement trauma:1 | trauma informed:1 | informed care:1 | care motivational:1 | motivational interviewing:1 | interviewing within:1,aba:3 | own:2 | clients:2 | onboarding:2 | one:1 | challenging:1 | parts:1 | practicum:1 | target:1 | navigating:1 | balance:1 | structured:1 | approach:1 | values:1 | client:1 | centered:1 | care:1 | seen:1 | involving:1 | behavior:1,one challenging:1 | challenging parts:1 | parts practicum:1 | practicum target:1 | target aba:1 | aba navigating:1 | navigating balance:1 | balance aba:1 | aba structured:1 | structured approach:1 | approach own:1 | own values:1 | values client:1 | client centered:1 | centered care:1
one health,3,One Health,case:2 | management:2 | instead:2 | gave:2 | better:2 | sense:2 | work:2 | aps:2 | organization:2 | learning:2 | biggest:1 | help:1 | included:1 | outreach:1 | support:1 | groups:1 | observing:1 | community:1 | appreciated:1 | coordination:1,case management:2 | gave better:2 | better sense:2 | help included:1 | included outreach:1 | outreach support:1 | support groups:1 | groups case:1 | management instead:1 | observing gave:1 | sense community:1 | community work:1 | appreciated work:1 | work aps:1 | aps coordination:1,msw:3 | practice:2 | having:2 | supervisor:2 | agency:2 | outside:2 | too:1 | admin:1 | work:1 | enough:1 | hands:1 | wanted:1 | little:1 | independent:1 | direct:1 | discussions:1 | conflicts:1 | challenges:1 | seek:1 | mentorship:1,msw supervisor:2 | too admin:1 | admin work:1 | wanted little:1 | little independent:1 | independent practice:1 | having direct:1 | direct msw:1 | supervisor agency:1 | agency discussions:1 | discussions conflicts:1 | conflicts challenges:1 | challenges seek:1 | seek mentorship:1 | mentorship areas:1
open aid alliance,22,Open Aid Alliance,practice:6 | support:6 | work:5 | supervision:5 | helped:4 | planning:4 | real:4 | exposure:4 | feedback:4 | actually:3 | practicum:3 | biggest:3 | help:3 | coordination:3 | instead:3 | hands:3 | experience:3 | gave:3 | appreciated:3 | outreach:3,hands experience:3 | actually see:2 | see classroom:2 | classroom material:2 | material shows:2 | shows practicum:2 | help real:2 | real exposure:2 | getting hands:2 | gave useful:2 | learned quite:1 | quite bit:1 | bit needed:1 | needed direction:1 | direction needed:1,practice:5 | direct:4 | too:4 | work:3 | enough:3 | weeks:2 | instead:2 | agency:2 | client:2 | scheduling:2 | difficult:2 | times:2 | wanted:2 | admin:2 | having:2 | than:2 | expected:2 | experience:2 | one:2 | frustration:2,scheduling difficult:2 | difficult times:2 | too admin:2 | admin work:2 | than expected:2 | direct practice:2 | first weeks:1 | weeks unstructured:1 | shadowing needed:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | practice slowed:1 | slowed down:1
oregon aids education & training center,5,Oregon Aids Education & Training Center,learning:2 | intervention:2 | evaluation:2 | work:2 | public:2 | health:2 | complete:1 | assessments:1 | translate:1 | goals:1 | practicum:1 | see:1 | assessment:1 | together:1 | exposure:1 | learned:1 | immersed:1 | advocacy:1 | included:1 | life:1,public health:2 | learning complete:1 | complete assessments:1 | assessments translate:1 | translate intervention:1 | intervention goals:1 | goals practicum:1 | practicum see:1 | see assessment:1 | assessment intervention:1 | intervention evaluation:1 | evaluation work:1 | work together:1 | exposure public:1 | learned immersed:1,travel:1 | logistics:1 | occasionally:1 | took:1 | away:1 | direct:1 | learning:1 | good:1 | nothing:1 | one:1 | frustration:1 | shadowing:1 | needed:1 | chances:1 | try:1 | skills:1 | placement:1 | useful:1 | client:1 | contact:1,travel logistics:1 | logistics occasionally:1 | occasionally took:1 | took away:1 | away direct:1 | direct learning:1 | frustration shadowing:1 | shadowing needed:1 | placement useful:1 | useful client:1 | client contact:1 | contact limited:1 | limited than:1 | than expected:1
