academic_year,academic_year_start,agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recommendation_rate,overall_sentiment_score,concern_indicator_count,concern_flag,prepared_for_practice,learning_goals_met,supervision_frequency,supervision_quality,felt_prepared,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,comments_supervisor_polarity,least_helpful_polarity,most_helpful_polarity,other_comments_polarity,recommend_reason_polarity
2021-2022,2021,office of the state public defender,Office Of The State Public Defender,3,sufficient,4.27,1.0,0.3329,0,no flag,4.33,4.0,4.67,3.67,4.67,4.67,5.0,4.67,4.33,5.0,3.67,4.33,4.33,4.33,0.0094,0.0822,0.6445,0.2263,0.7019
2021-2022,2021,on target aba,On Target Aba,1,limited,4.8,1.0,0.3352,0,no flag,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.6249,0.12,0.0,0.2944,0.6369
2021-2022,2021,open aid alliance,Open Aid Alliance,2,limited,3.5,0.5,0.2362,1,no flag,3.0,3.0,4.0,3.0,4.5,2.5,4.5,3.5,4.0,3.0,2.5,2.0,5.0,3.5,0.201,-0.1806,0.4034,0.3818,0.3752
2021-2022,2021,oregon aids education & training center,Oregon Aids Education & Training Center,1,limited,3.0,0.0,0.1333,2,review recommended,2.0,2.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7184,-0.2516,0.4754,0.0,-0.2755
2021-2022,2021,parents helping parents,Parents Helping Parents,1,limited,4.6,1.0,0.7825,0,no flag,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.8903,0.5994,0.796,,0.8442
2021-2022,2021,partners in home care,Partners In Home Care,4,sufficient,3.8,0.5,0.2607,1,no flag,4.0,4.0,3.75,3.75,3.5,4.0,3.5,4.5,4.0,3.75,4.0,4.25,3.75,2.5,0.4811,-0.0079,0.3607,0.482,-0.0124
2021-2022,2021,partnership health center,Partnership Health Center,4,sufficient,3.75,0.5,0.3444,1,no flag,4.25,3.75,3.25,3.0,4.5,4.0,4.5,4.25,3.75,3.5,3.5,4.5,4.25,3.75,0.6103,0.139,0.5454,0.3334,0.0939
2021-2022,2021,paxson elementary school,Paxson Elementary School,1,limited,4.8,1.0,0.5616,0,no flag,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,0.0,0.8268,,0.8581
2021-2022,2021,peachtree pediatric therapy center,Peachtree Pediatric Therapy Center,1,limited,4.8,0.0,0.2962,1,no flag,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,,0.4019,0.8885,,-0.4019
2021-2022,2021,planned parenthood of montana,Planned Parenthood Of Montana,1,limited,2.6,1.0,0.373,1,no flag,2.0,3.0,1.0,5.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,0.6369,0.0,0.4939,,0.3612
2021-2022,2021,postpartum resource group,Postpartum Resource Group,1,limited,4.6,1.0,0.3143,0,no flag,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-0.2263,0.1451,0.7351,0.5563,0.3612
2021-2022,2021,poverello center inc,Poverello Center Inc,3,sufficient,4.4,0.67,0.3479,1,no flag,4.67,4.33,4.33,4.0,4.67,3.67,4.33,4.33,3.67,4.0,4.67,4.0,4.0,4.67,0.3974,-0.3375,0.6463,0.6016,0.4317
2021-2022,2021,providence st. joseph medical center,Providence St. Joseph Medical Center,1,limited,3.4,0.0,0.2752,2,review recommended,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,0.2846,0.4588,0.765,0.2431,-0.3753
2021-2022,2021,ramsey magnet school of science,Ramsey Magnet School Of Science,1,limited,1.6,0.0,0.1579,2,review recommended,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.4404,-0.3252,0.7501,0.0,-0.0757
2021-2022,2021,rimrock foundation,Rimrock Foundation,3,sufficient,3.0,0.33,0.2419,2,review recommended,3.33,3.33,3.33,2.67,2.33,3.67,4.0,3.0,2.67,2.67,2.33,3.0,2.67,3.33,0.0288,-0.1667,0.7306,0.4049,0.212
2021-2022,2021,salem keizer school district,Salem Keizer School District,1,limited,3.2,0.0,0.1787,2,review recommended,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,0.6597,-0.0616,0.5574,0.101,-0.3632
2021-2022,2021,shodair childrens hospital,Shodair Childrens Hospital,1,limited,1.8,1.0,0.4657,1,no flag,1.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0,2.0,5.0,4.0,4.0,0.4404,-0.25,0.4939,0.8422,0.802
2021-2022,2021,sierra nevada memorial hospital,Sierra Nevada Memorial Hospital,1,limited,4.2,1.0,0.3365,0,no flag,5.0,2.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,0.1531,0.0,0.6416,0.5267,0.3612
2021-2022,2021,soft landing missoula,Soft Landing Missoula,1,limited,5.0,1.0,0.4623,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,0.659,-0.3252,0.4754,0.7003,0.802
2021-2022,2021,spot to talk,Spot To Talk,2,limited,4.8,1.0,0.4884,0,no flag,5.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,4.5,3.0,4.5,4.5,4.5,5.0,0.4654,0.0486,0.8298,,0.61
2021-2022,2021,spotted bull recovery resource center,Spotted Bull Recovery Resource Center,1,limited,5.0,1.0,0.4453,0,no flag,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,0.6369,-0.3612,0.9136,0.2944,0.743
2021-2022,2021,st. patrick hospital,St. Patrick Hospital,7,sufficient,3.74,0.43,0.1272,1,no flag,3.71,3.71,3.71,3.86,3.71,4.0,3.71,4.0,3.71,3.86,3.29,3.43,3.71,2.86,0.1739,-0.0923,0.4467,0.1859,-0.078
2021-2022,2021,standing together against rape (star),Standing Together Against Rape (Star),1,limited,5.0,1.0,0.3599,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,0.0,0.5859,,0.4939
2021-2022,2021,student advocacy resource center,Student Advocacy Resource Center,6,sufficient,2.6,0.33,0.1861,2,review recommended,2.0,2.67,3.83,2.17,2.33,2.5,2.5,2.67,2.33,2.67,2.17,2.17,2.0,2.0,0.1581,-0.158,0.5722,0.3088,0.0495
2021-2022,2021,the hope wellness center,The Hope Wellness Center,1,limited,4.2,1.0,0.2535,0,no flag,5.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,-0.2263,0.0,0.6249,0.8689
2021-2022,2021,the parenting place,The Parenting Place,1,limited,1.8,0.0,0.2693,2,review recommended,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,,-0.0772,0.7346,,0.1506
2021-2022,2021,trailhead therapy & mentoring,Trailhead Therapy & Mentoring,1,limited,4.0,1.0,0.2646,0,no flag,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,,0.3197,0.0,,0.474
2021-2022,2021,trio student support services,Trio Student Support Services,1,limited,5.0,1.0,0.4991,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.3597,0.161,0.836,0.2944,0.8442
2021-2022,2021,turning winds,Turning Winds,1,limited,3.2,0.0,0.4081,2,review recommended,5.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7363,-0.7153,0.3238,0.8885,0.8072
2021-2022,2021,university of phoenix,University Of Phoenix,1,limited,2.2,0.0,0.1468,2,review recommended,1.0,2.0,5.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,0.2141,0.0,0.0,0.7003,-0.1803
2021-2022,2021,valley cities behavioral health care,Valley Cities Behavioral Health Care,1,limited,3.8,1.0,0.616,0,no flag,5.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.8923,0.1027,0.5709,,0.8979
2021-2022,2021,victim services program,Victim Services Program,1,limited,4.6,1.0,0.5713,0,no flag,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,0.659,0.0,0.6997,0.5563,0.9413
2021-2022,2021,village healthcare center,Village Healthcare Center,1,limited,5.0,1.0,0.415,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,0.3597,0.12,0.6997,0.0,0.8957
2021-2022,2021,vocational rehab,Vocational Rehab,4,sufficient,4.85,1.0,0.3701,0,no flag,5.0,4.5,5.0,5.0,4.75,5.0,5.0,4.75,4.25,5.0,4.5,5.0,4.5,4.75,0.4501,-0.2767,0.4521,0.5295,0.6953
2021-2022,2021,western montana mental health center,Western Montana Mental Health Center,1,limited,4.4,1.0,0.2618,0,no flag,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,,-0.5719,0.5994,,0.7579
2021-2022,2021,western montana's lgbtq+ community center,Western Montana's Lgbtq+ Community Center,1,limited,2.0,0.0,0.0633,2,review recommended,1.0,1.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.2617,-0.3252,0.7841,0.0,-0.4039
2021-2022,2021,winds of change mental health center,Winds Of Change Mental Health Center,1,limited,2.8,0.0,0.2443,2,review recommended,3.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.4634,0.069,0.743,,-0.2982
2021-2022,2021,women's resource center,Women's Resource Center,2,limited,2.4,0.5,0.1301,2,review recommended,2.0,2.0,3.5,2.5,2.0,3.0,3.5,3.0,2.5,1.0,2.0,2.5,2.0,2.5,-0.1502,-0.0308,0.7232,0.3138,-0.2053
2021-2022,2021,yellowstone boys and girls ranch,Yellowstone Boys And Girls Ranch,2,limited,3.5,0.5,0.1607,1,no flag,4.5,3.0,3.5,3.5,3.0,2.5,3.5,3.0,3.5,4.0,3.5,5.0,3.5,3.5,0.1531,-0.1913,0.4134,0.5336,-0.1053
2021-2022,2021,youth court services,Youth Court Services,1,limited,4.4,1.0,0.5519,0,no flag,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,0.6369,0.0,0.946,,0.6249
2021-2022,2021,youth crisis center inc,Youth Crisis Center Inc.,1,limited,2.6,0.0,-0.1033,3,review recommended,1.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,-0.3184,-0.2516,0.7579,-0.3007,-0.4039
2021-2022,2021,youth dynamics,Youth Dynamics,1,limited,1.6,0.0,0.3097,2,review recommended,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.2141,0.0,0.4754,0.4019,0.457
2021-2022,2021,youth homes,Youth Homes,3,sufficient,3.47,1.0,0.2987,1,no flag,3.33,4.33,3.33,3.67,2.67,4.33,4.33,3.67,3.67,3.67,4.0,3.67,4.33,3.67,0.1509,0.0726,0.7226,0.1591,0.3881
2021-2022,2021,ywca,Ywca,4,sufficient,3.4,0.75,0.3268,1,no flag,3.75,4.0,2.75,2.75,3.75,4.0,4.0,4.5,4.0,4.0,4.25,4.0,4.0,3.25,0.2129,-0.2763,0.7709,0.3923,0.5342
2022-2023,2022,3 rivers mental health center,3 Rivers Mental Health Center,1,limited,4.4,1.0,0.3201,0,no flag,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,0.7096,0.0,-0.2516,,0.8225
2022-2023,2022,988 suicide & crisis lifeline center,988 Suicide & Crisis Lifeline Center,1,limited,4.4,0.0,0.3971,1,no flag,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,0.3818,0.7579,,0.0516
2022-2023,2022,aaniiih nakoda college,Aaniiih Nakoda College,2,limited,4.6,1.0,0.5608,0,no flag,5.0,4.0,4.5,4.5,5.0,4.5,5.0,4.0,4.0,5.0,4.5,4.0,4.5,4.5,0.468,0.2108,0.7608,0.6406,0.7237
2022-2023,2022,abbie shelter,Abbie Shelter,1,limited,4.2,1.0,0.335,0,no flag,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,0.4215,0.5106,0.743
2022-2023,2022,acenda integrated health,Acenda Integrated Health,1,limited,4.4,1.0,0.2348,0,no flag,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,,0.9393
2022-2023,2022,affordable housing trust fund,Affordable Housing Trust Fund,2,limited,3.8,0.5,0.209,1,no flag,3.0,3.5,4.0,5.0,3.5,3.5,3.0,3.0,4.0,3.0,3.5,3.0,4.0,3.0,0.2905,0.0,0.2377,0.0,0.5168
2022-2023,2022,ag worker health and services,Ag Worker Health And Services,2,limited,2.2,0.5,0.1026,2,review recommended,3.0,2.5,1.0,1.5,3.0,2.5,3.5,2.0,1.0,3.0,2.0,2.0,1.5,1.5,-0.2755,-0.1312,0.0658,0.4755,0.3786
2022-2023,2022,alaska family services,Alaska Family Services,1,limited,4.2,1.0,0.5295,0,no flag,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,0.6369,0.0,0.875,0.5106,0.6249
2022-2023,2022,all nations health center - behaviorial health,All Nations Health Center - Behaviorial Health,2,limited,4.2,1.0,0.3611,0,no flag,4.5,3.5,4.5,5.0,3.5,4.5,5.0,5.0,3.0,3.5,5.0,4.5,3.5,4.5,-0.3612,0.275,0.8741,0.2553,0.7625
2022-2023,2022,aspen adult services,Aspen Adult Services,3,sufficient,3.93,1.0,0.318,0,no flag,4.0,4.0,4.67,3.0,4.0,4.33,3.33,4.0,2.33,2.67,4.0,4.67,4.67,4.33,0.0498,0.1906,0.3723,0.4767,0.5007
2022-2023,2022,aware inc,Aware Inc.,2,limited,2.7,1.0,0.4257,1,no flag,2.0,2.5,4.0,3.0,2.0,4.5,3.0,4.0,3.0,3.0,3.5,4.5,2.5,3.5,0.564,0.0,0.4576,0.4215,0.6852
2022-2023,2022,bayview recovery center,Bayview Recovery Center,2,limited,3.8,0.5,0.244,1,no flag,4.5,5.0,3.0,3.0,3.5,4.0,2.0,4.0,4.0,3.0,4.5,5.0,3.0,3.5,-0.0185,0.201,0.2202,0.6594,0.1578
2022-2023,2022,behavioral health resources,Behavioral Health Resources,2,limited,3.3,0.5,0.1098,2,review recommended,3.0,3.5,3.5,3.0,3.5,3.5,4.0,4.0,3.5,4.0,3.5,3.5,3.0,2.5,-0.1867,-0.5095,0.6616,0.3915,0.1921
2022-2023,2022,benefis health system,Benefis Health System,2,limited,3.5,0.5,0.2474,1,no flag,3.5,4.0,3.0,4.0,3.0,3.0,3.5,4.5,3.5,3.5,2.5,3.5,3.0,3.0,0.1256,-0.0895,0.588,0.2202,0.3929
2022-2023,2022,big sky palliative & hospice,Big Sky Palliative & Hospice,1,limited,4.0,1.0,0.4397,0,no flag,4.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,0.5106,-0.3252,0.6597,,0.9136
2022-2023,2022,blackfeet community college,Blackfeet Community College,2,limited,2.8,1.0,0.0926,1,no flag,3.0,1.5,2.5,3.0,4.0,4.5,3.0,4.5,3.0,3.5,2.5,2.5,3.0,3.0,-0.1591,-0.295,0.318,0.0,0.5992
2022-2023,2022,boys and girls club,Boys And Girls Club,5,sufficient,4.24,1.0,0.3976,0,no flag,4.0,4.0,4.6,4.6,4.0,4.4,4.4,4.2,3.8,4.2,3.8,4.6,4.6,4.4,0.2128,-0.1828,0.683,0.5901,0.6847
2022-2023,2022,bozeman school district 7,Bozeman School District 7,2,limited,3.3,0.5,0.308,2,review recommended,4.5,3.0,3.0,3.0,3.0,2.5,3.0,2.5,3.0,3.0,4.0,3.0,4.5,2.0,0.0658,0.0,0.493,0.5456,0.4358
2022-2023,2022,bureau of indian affairs,Bureau Of Indian Affairs,1,limited,4.6,1.0,0.4411,0,no flag,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.5106,0.0,0.5106,,0.743
2022-2023,2022,cameron r-1 school district,Cameron R-1 School District,2,limited,4.0,1.0,0.3836,0,no flag,3.5,4.5,3.0,4.5,4.5,4.5,5.0,4.0,3.5,3.0,3.0,3.5,5.0,3.5,0.546,0.1423,0.4933,0.0,0.7364
2022-2023,2022,casa for children,Casa For Children,1,limited,4.0,1.0,0.283,0,no flag,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,-0.8402,0.7269,,0.9623
2022-2023,2022,catalyst mt,Catalyst Mt,3,sufficient,2.4,0.67,0.2981,2,review recommended,2.67,2.67,2.33,2.0,2.33,3.0,3.33,3.0,3.0,3.67,3.0,2.67,3.0,3.33,0.1436,-0.1155,0.6377,0.5106,0.3141
2022-2023,2022,cedar creek integrated health,Cedar Creek Integrated Health,1,limited,4.6,1.0,0.572,0,no flag,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.8074,0.1779,0.4754,,0.8271
2022-2023,2022,"center for children, families and workforce development","Center For Children, Families And Workforce Development",9,sufficient,3.65,0.78,0.3793,0,no flag,3.78,3.89,3.56,3.78,3.22,4.22,4.33,3.89,4.11,3.78,3.78,3.78,4.33,3.78,0.2439,0.0933,0.5797,0.4625,0.5172
2022-2023,2022,center for restorative youth justice,Center For Restorative Youth Justice,1,limited,3.2,0.0,0.2352,2,review recommended,5.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,0.1818,0.0,0.6124,0.8422,-0.4606
2022-2023,2022,cheyenne regional behavioral health,Cheyenne Regional Behavioral Health,1,limited,2.8,1.0,0.3147,1,no flag,3.0,1.0,2.0,3.0,5.0,1.0,2.0,5.0,3.0,1.0,4.0,1.0,2.0,2.0,0.3243,-0.25,0.4939,,0.6908
2022-2023,2022,child and family service department,Child And Family Service Department,12,sufficient,4.03,0.83,0.3301,0,no flag,3.5,4.17,4.0,4.5,4.0,3.58,3.67,4.0,3.83,3.25,3.67,3.42,4.0,3.17,0.3707,-0.0546,0.582,0.2742,0.478
2022-2023,2022,chippewa cree tribe human services division,Chippewa Cree Tribe Human Services Division,1,limited,3.6,1.0,0.3609,0,no flag,1.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,0.4939,0.2716,0.6369,0.0,0.4019
2022-2023,2022,city of olympia,City Of Olympia,1,limited,4.0,1.0,0.3191,0,no flag,5.0,4.0,5.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,5.0,4.0,0.1531,0.0,0.2846,0.7964,0.3612
2022-2023,2022,clark fork valley hospital & family medicine network,Clark Fork Valley Hospital & Family Medicine Network,1,limited,1.6,1.0,0.2203,1,no flag,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.4576,-0.4404,0.5267,0.0,0.5574
2022-2023,2022,community medical center,Community Medical Center,2,limited,4.2,1.0,0.5202,0,no flag,2.5,4.5,4.0,5.0,5.0,4.0,4.5,5.0,5.0,5.0,5.0,3.5,3.5,4.0,0.8235,0.0,0.4754,0.6896,0.6124
2022-2023,2022,confederated salish and kootenai social services division,Confederated Salish And Kootenai Social Services Division,1,limited,4.8,1.0,0.4906,0,no flag,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,0.5106,-0.3612,0.9153,0.5106,0.8779
2022-2023,2022,crime victim advocate program,Crime Victim Advocate Program,2,limited,3.6,0.5,0.3717,1,no flag,3.5,3.0,4.5,3.5,3.5,3.0,4.0,4.0,3.5,4.0,3.5,3.5,3.5,3.0,0.316,0.0805,0.8634,0.619,-0.0203
2022-2023,2022,crisis text line,Crisis Text Line,1,limited,4.8,1.0,0.2439,0,no flag,5.0,5.0,5.0,4.0,5.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,-0.3612,0.7089,0.5106,0.3612
2022-2023,2022,crosswinds recovery,Crosswinds Recovery,4,sufficient,3.5,0.5,0.1941,1,no flag,3.25,3.75,4.0,2.75,3.75,3.75,3.5,3.75,4.0,3.75,4.25,3.5,4.25,3.75,-0.0748,-0.1438,0.2998,0.4716,0.4175
2022-2023,2022,curry health center,Curry Health Center,11,sufficient,4.07,0.91,0.3613,0,no flag,4.27,4.09,4.18,3.91,3.91,3.36,3.91,3.82,4.09,4.09,3.36,3.82,4.0,3.91,0.3748,-0.0771,0.4216,0.3962,0.6909
2022-2023,2022,davidson college,Davidson College,1,limited,4.2,1.0,0.5701,0,no flag,4.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,0.5423,0.4404,0.4754,,0.8225
2022-2023,2022,denver public schools,Denver Public Schools,1,limited,5.0,1.0,0.4861,0,no flag,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,,0.0,0.6908,0.5106,0.743
2022-2023,2022,department of health and human services,Department Of Health And Human Services,3,sufficient,3.6,0.67,0.5158,1,no flag,3.0,3.33,4.0,3.67,4.0,5.0,4.33,4.0,4.0,3.67,4.33,4.0,3.67,3.0,0.4924,0.1405,0.6091,0.6764,0.6608
2022-2023,2022,dewitt rite care clinic,Dewitt Rite Care Clinic,1,limited,3.8,0.0,0.13,1,no flag,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,-0.2263,0.2846,0.3804,,0.0813
2022-2023,2022,eating disorder center of montana,Eating Disorder Center Of Montana,2,limited,3.6,0.5,0.1799,1,no flag,3.0,3.5,3.0,3.5,5.0,3.0,2.0,3.5,3.0,2.5,3.5,3.5,3.5,2.5,0.2263,-0.1132,0.2202,,0.3863
2022-2023,2022,eden health,Eden Health,3,sufficient,4.07,0.67,0.4396,1,no flag,4.33,3.67,3.33,4.33,4.67,4.67,4.0,3.67,4.33,3.67,4.33,4.33,4.33,4.67,0.1786,0.2937,0.6661,,0.6198
2022-2023,2022,eduro healthcare,Eduro Healthcare,1,limited,2.6,0.0,0.4167,2,review recommended,5.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,0.4404,0.4404,0.6369,0.4404,0.1255
2022-2023,2022,empowermt,Empowermt,3,sufficient,4.2,1.0,0.4513,0,no flag,4.33,4.0,3.67,4.0,5.0,4.67,5.0,4.33,4.33,4.67,4.33,3.0,3.33,2.67,0.1876,0.2533,0.6195,,0.7449
2022-2023,2022,fair-mont-egan school,Fair-Mont-Egan School,1,limited,2.6,0.0,0.2383,2,review recommended,2.0,2.0,3.0,1.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,0.1531,0.4215,0.6369,0.4404,-0.4606
2022-2023,2022,first step resource center,First Step Resource Center,3,sufficient,4.47,1.0,0.4515,0,no flag,4.0,4.67,5.0,4.67,4.0,5.0,4.33,4.0,4.67,4.67,4.67,4.67,4.67,4.67,0.5106,-0.0341,0.6243,0.3348,0.822
2022-2023,2022,franklin pierce school district,Franklin Pierce School District,1,limited,4.2,1.0,0.5629,0,no flag,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,0.8074,0.0,0.5106,,0.9337
2022-2023,2022,frontier behavioral health,Frontier Behavioral Health,1,limited,4.2,1.0,0.5584,0,no flag,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,0.7845,0.0,0.4754,0.7096,0.8225
2022-2023,2022,gallatin high school,Gallatin High School,1,limited,3.8,1.0,0.2097,0,no flag,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,-0.4769,-0.2516,0.7184,0.4215,0.6369
2022-2023,2022,germane and wise mental health consulting,Germane And Wise Mental Health Consulting,1,limited,2.2,0.0,0.3127,2,review recommended,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,0.3243,0.1779,0.4576,0.7089,-0.1053
2022-2023,2022,grandview family counseling,Grandview Family Counseling,1,limited,4.6,1.0,0.2098,0,no flag,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,,-0.743,0.4215,,0.9509
2022-2023,2022,great falls rescue mission cameron family center,Great Falls Rescue Mission Cameron Family Center,1,limited,3.2,1.0,0.4068,1,no flag,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,0.1531,0.0,0.6369,0.8422,0.4019
2022-2023,2022,greater valley health center,Greater Valley Health Center,2,limited,2.4,0.5,0.1432,2,review recommended,1.0,2.0,4.5,2.5,2.0,2.5,3.0,2.5,2.5,1.5,2.5,1.5,2.5,1.0,-0.196,-0.1258,0.5738,0.201,0.2632
2022-2023,2022,green apple behavioral health,Green Apple Behavioral Health,1,limited,2.0,0.0,0.1304,2,review recommended,1.0,2.0,3.0,2.0,2.0,5.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,0.2263,-0.5106,0.296,0.4404,0.1999
2022-2023,2022,hamilton school district 5,Hamilton School District 5,1,limited,4.6,1.0,0.6052,0,no flag,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,,0.4215,0.4404,,0.9538
2022-2023,2022,haven,Haven,1,limited,3.4,1.0,0.3036,1,no flag,3.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,2.0,0.5106,0.0,0.0,0.4215,0.5859
2022-2023,2022,health promotion disease prevention,Health Promotion Disease Prevention,1,limited,4.0,1.0,0.7189,0,no flag,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,0.3626,0.8519,,0.9423
2022-2023,2022,helena indian alliance,Helena Indian Alliance,1,limited,4.2,0.0,0.0341,2,review recommended,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,,-0.4993,0.7506,,-0.1491
2022-2023,2022,international rescue committee,International Rescue Committee,4,sufficient,3.0,0.5,0.1833,2,review recommended,2.5,3.5,3.0,3.0,3.0,3.75,3.5,2.5,3.25,3.25,2.75,3.5,2.75,3.0,0.1364,-0.1626,0.6034,0.218,0.1213
