agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recent_placement_score,fit_trend,mean_response_length,recommendation_rate,overall_sentiment_score,mean_competency_score,concern_indicator_count,concern_flag,misalignment_flag,most_helpful_polarity,least_helpful_polarity,strong_supervision_helpful_pct,strong_supervision_least_pct,direct_practice_opportunity_helpful_pct,direct_practice_opportunity_least_pct,administrative_overload_helpful_pct,administrative_overload_least_pct,organizational_structure_helpful_pct,organizational_structure_least_pct,learning_environment_helpful_pct,learning_environment_least_pct,social_justice_alignment_helpful_pct,social_justice_alignment_least_pct,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,felt_prepared,learning_goals_met,prepared_for_practice,supervision_frequency,supervision_quality,comments_supervisor_polarity,other_comments_polarity,recommend_reason_polarity,agency_competency_1_mean,agency_competency_2_mean,agency_competency_3_mean,agency_competency_4_mean,agency_competency_5_mean,agency_competency_6_mean,agency_competency_7_mean,agency_competency_8_mean,agency_competency_9_mean
friends forever mentoring,Friends Forever Mentoring,3,sufficient,4.07,,stable,26.7,1.0,0.503,87.55,0,no flag,no flag,0.7103,0.143,0.0,0.0,0.0,33.3,0.0,33.3,66.7,0.0,33.3,66.7,66.7,0.0,social:2 | clients:2 | policy:1 | practice:1 | helped:1 | understand:1 | systems:1 | rules:1 | welfare:1 | structures:1 | affect:1 | connected:1 | justice:1 | self:1 | determination:1 | appreciate:1 | taken:1 | strategic:1 | planning:1 | taking:1,policy practice:1 | practice helped:1 | helped understand:1 | understand systems:1 | systems rules:1 | rules social:1 | social welfare:1 | welfare structures:1 | structures affect:1 | affect clients:1 | clients connected:1 | connected social:1 | social justice:1 | justice self:1 | self determination:1,having:1 | fewer:1 | opportunities:1 | direct:1 | service:1 | than:1 | expected:1 | complaints:1 | thus:1 | far:1 | everything:1 | learned:1 | super:1 | shadowing:1 | needed:1 | chances:1 | try:1 | skills:1 | spent:1 | guessing:1,having fewer:1 | fewer opportunities:1 | opportunities direct:1 | direct service:1 | service than:1 | than expected:1 | complaints thus:1 | thus far:1 | far everything:1 | everything learned:1 | learned super:1 | shadowing needed:1 | skills spent:1 | spent guessing:1 | guessing doing:1,3.67,4.0,3.67,3.67,3.67,3.67,3.67,3.0,3.0,3.67,3.67,3.67,4.67,4.67,0.9136,0.0,0.748,88.59,88.1,86.56,90.65,86.87,86.95,86.79,87.82,85.67
grandview family counseling,Grandview Family Counseling,6,sufficient,4.07,4.8,improving,25.0,0.83,0.3874,90.04,0,no flag,no flag,0.5013,-0.2365,50.0,0.0,16.7,50.0,0.0,33.3,0.0,16.7,33.3,16.7,33.3,0.0,helped:4 | work:3 | across:2 | practice:2 | able:2 | policy:1 | research:1 | stakeholder:1 | meetings:1 | legislative:1 | tracking:1 | build:1 | confidence:1 | understand:1 | programs:1 | run:1 | staff:1 | together:1 | services:1 | flexible:1,helped work:1 | work policy:1 | policy research:1 | research stakeholder:1 | stakeholder meetings:1 | meetings legislative:1 | legislative tracking:1 | tracking helped:1 | helped build:1 | build confidence:1 | understand programs:1 | programs run:1 | run staff:1 | staff work:1 | work together:1,work:2 | honestly:1 | frustration:1 | needed:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | structure:1 | uneven:1 | early:1 | admin:1 | enough:1 | hands:1 | practice:1 | meaningful:1 | level:1 | exposure:1 | trauma:1,honestly frustration:1 | frustration needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | structure uneven:1 | uneven early:1 | admin work:1 | work meaningful:1 | meaningful level:1 | level exposure:1 | exposure trauma:1 | trauma difficult:1 | difficult balance:1,4.5,4.33,4.33,4.17,4.17,4.5,4.17,3.83,4.0,3.83,4.17,4.0,4.33,4.0,0.515,0.5342,0.6231,86.0,90.16,91.9,92.48,88.34,88.77,92.92,89.78,89.96
missoula alliance church,Missoula Alliance Church,7,sufficient,4.09,3.7,declining,32.7,0.71,0.3187,90.09,0,no flag,no flag,0.5778,-0.0977,57.1,0.0,14.3,28.6,0.0,28.6,28.6,28.6,57.1,0.0,28.6,0.0,community:3 | work:3 | biggest:2 | help:2 | planning:2 | supervision:2 | management:2 | environment:2 | encouragement:2 | learning:2 | experience:2 | appreciated:2 | foster:2 | families:2 | learn:2 | debrief:2 | assessments:2 | clients:1 | tasks:1 | discharge:1,help clients:1 | clients tasks:1 | tasks discharge:1 | discharge planning:1 | planning chart:1 | chart review:1 | review taught:1 | taught than:1 | than structure:1 | supervision staff:1 | staff management:1 | management extremely:1 | extremely environment:1 | environment encouragement:1 | encouragement learning:1,times:3 | practice:2 | expectations:2 | hardest:2 | frustration:1 | admin:1 | work:1 | enough:1 | hands:1 | say:1 | less:1 | structure:1 | actual:1 | services:1 | roles:1 | rules:1 | confusing:1 | think:1 | structured:1 | policies:1,frustration admin:1 | admin work:1 | say less:1 | less structure:1 | structure actual:1 | actual services:1 | services roles:1 | roles expectations:1 | expectations rules:1 | rules confusing:1 | confusing think:1 | think structured:1 | structured policies:1 | policies outlines:1 | outlines expectations:1,3.86,3.86,4.43,4.29,4.43,3.86,4.0,4.0,3.71,4.0,4.0,4.14,4.0,4.29,0.4244,0.3754,0.3135,90.14,91.91,90.24,90.74,90.46,88.87,89.58,91.35,87.51
tri-valley haven,Tri-Valley Haven,4,sufficient,4.1,3.8,stable,21.0,0.75,0.3477,90.45,0,no flag,no flag,0.7083,0.009,100.0,0.0,25.0,25.0,0.0,25.0,50.0,0.0,25.0,0.0,0.0,0.0,consistent:2 | learn:2 | planning:2 | debrief:2 | ability:1 | feedback:1 | manner:1 | incredibly:1 | supervision:1 | able:1 | work:1 | clients:1 | feeling:1 | supported:1 | direct:1 | practice:1 | debriefing:1 | client:1 | interactions:1 | biggest:1,ability feedback:1 | feedback consistent:1 | consistent manner:1 | manner incredibly:1 | supervision consistent:1 | consistent able:1 | able work:1 | work clients:1 | clients feeling:1 | feeling supported:1 | supported direct:1 | direct practice:1 | practice debriefing:1 | debriefing client:1 | client interactions:1,times:2 | social:2 | work:2 | busy:1 | difficult:1 | slow:1 | down:1 | look:1 | principals:1 | use:1 | like:1 | able:1 | areas:1 | importance:1 | worker:1 | onboarding:1 | process:1 | clearer:1 | hardest:1 | repeat:1,times busy:1 | busy difficult:1 | difficult slow:1 | slow down:1 | down look:1 | look social:1 | social work:1 | work principals:1 | principals use:1 | use like:1 | like able:1 | able work:1 | work areas:1 | areas importance:1 | importance social:1,4.25,3.5,4.25,4.0,4.0,3.0,4.5,4.25,4.25,4.0,4.25,3.5,4.75,4.0,0.299,0.1843,0.5381,87.82,92.46,88.38,90.25,89.38,90.87,94.53,89.53,90.89
community medical center,Community Medical Center,22,sufficient,4.11,3.78,declining,26.0,0.82,0.4133,90.47,0,no flag,no flag,0.6177,-0.087,63.6,5.6,36.4,5.6,4.5,22.2,9.1,22.2,45.5,38.9,22.7,0.0,work:8 | practice:6 | learn:5 | supervision:5 | helped:4 | gave:4 | patients:4 | coordination:4 | connected:4 | debrief:3 | exposure:3 | support:3 | assessment:3 | intervention:3 | like:3 | meetings:3 | appreciated:3 | build:3 | confidence:3 | community:3,build confidence:3 | direct practice:3 | case management:2 | see assessment:2 | hospital setting:2 | community partnerships:2 | liked seeing:2 | seeing program:2 | program connected:2 | connected families:2 | families partner:2 | partner agencies:2 | chances documentation:2 | documentation observe:2 | observe assessments:2,learning:4 | process:3 | frustration:2 | practice:2 | hospital:2 | role:2 | honestly:2 | shadowing:2 | needed:2 | chances:2 | try:2 | skills:2 | work:2 | onboarding:2 | clearer:2 | scheduling:2 | difficult:2 | times:2 | documentation:2 | communication:1,shadowing needed:2 | onboarding process:2 | process clearer:2 | scheduling difficult:2 | difficult times:2 | communication across:1 | across staff:1 | staff inconsistent:1 | frustration went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | limited long:1 | long term:1,4.18,4.32,4.55,4.27,4.14,4.27,4.09,3.86,4.09,4.18,4.32,3.86,4.18,4.0,0.5068,0.4899,0.539,90.36,92.62,91.56,89.92,90.25,91.27,91.54,88.85,87.84
gateway to success,Gateway To Success,5,sufficient,4.12,4.47,improving,24.4,1.0,0.4879,89.06,0,no flag,no flag,0.4776,0.0787,40.0,20.0,40.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,40.0,0.0,helped:3 | community:2 | policy:2 | better:2 | practicum:2 | see:1 | partnerships:1 | systems:1 | coordination:1 | close:1 | understand:1 | practice:1 | gave:1 | sense:1 | crisis:1 | work:1 | observing:1 | doing:1 | case:1 | management:1,helped see:1 | see community:1 | community partnerships:1 | partnerships systems:1 | systems coordination:1 | coordination close:1 | close helped:1 | helped understand:1 | understand policy:1 | policy practice:1 | practice better:1 | better gave:1 | gave better:1 | better sense:1 | sense crisis:1,early:2 | practicum:2 | positive:2 | frustration:1 | liked:1 | consistency:1 | structure:1 | uneven:1 | honestly:1 | everything:1 | agency:1 | environment:1 | learning:1 | opportunities:1 | enriching:1 | supervisor:1 | willing:1 | help:1 | understand:1 | role:1,frustration liked:1 | liked consistency:1 | consistency early:1 | structure uneven:1 | uneven early:1 | honestly everything:1 | everything practicum:1 | practicum agency:1 | agency positive:1 | positive environment:1 | environment positive:1 | positive learning:1 | learning opportunities:1 | opportunities enriching:1 | enriching supervisor:1,4.4,4.0,4.2,3.6,4.4,4.0,4.8,4.4,4.2,3.6,4.2,4.6,3.8,4.4,0.6096,0.4619,0.8118,91.98,89.63,83.73,85.24,87.93,89.44,93.95,88.15,91.52
all nations health center - behaviorial health,All Nations Health Center - Behaviorial Health,8,sufficient,4.13,4.8,improving,39.5,0.88,0.2878,88.64,0,no flag,no flag,0.6209,-0.0486,25.0,0.0,25.0,12.5,0.0,0.0,0.0,12.5,50.0,12.5,50.0,0.0,work:8 | clients:5 | group:3 | community:3 | able:3 | healing:3 | learned:2 | resource:2 | meetings:2 | flexible:2 | direct:2 | strong:2 | rapport:2 | social:2 | perspective:2 | agency:2 | better:2 | healthy:2 | understand:2 | journey:2,group work:2 | learned group:1 | group facilitation:1 | facilitation resource:1 | resource work:1 | work community:1 | community meetings:1 | meetings flexible:1 | building relationships:1 | relationships direct:1 | direct experience:1 | strong support:1 | support included:1 | included meetings:1 | meetings regular:1,communication:2 | wanted:2 | clients:2 | gaps:1 | experience:1 | harder:1 | than:1 | needed:1 | chaos:1 | within:1 | organization:1 | slow:1 | periods:1 | fewer:1 | tasks:1 | clarity:1 | role:1 | learning:1 | goals:1 | seeing:1,communication gaps:1 | gaps experience:1 | experience harder:1 | harder than:1 | than needed:1 | chaos within:1 | within organization:1 | slow periods:1 | periods fewer:1 | fewer tasks:1 | wanted clarity:1 | clarity role:1 | role learning:1 | learning goals:1 | seeing waitlists:1,4.25,4.62,4.62,3.62,3.5,4.12,3.88,3.75,3.62,4.0,3.88,4.12,4.25,4.38,0.0932,0.361,0.4126,90.3,87.81,88.98,88.28,88.6,88.67,91.49,86.34,87.3
trailhead therapy & mentoring,Trailhead Therapy & Mentoring,3,sufficient,4.13,,stable,16.3,1.0,0.342,88.05,0,no flag,no flag,0.3042,0.0232,33.3,0.0,66.7,0.0,0.0,0.0,0.0,33.3,100.0,33.3,33.3,33.3,direct:2 | practice:2 | family:1 | systems:1 | thinking:1 | helped:1 | understand:1 | broader:1 | context:1 | assessment:1 | support:1 | planning:1 | client:1 | contact:1 | evidence:1 | based:1 | intervention:1 | learned:1 | feedback:1 | connect:1,family systems:1 | systems thinking:1 | thinking helped:1 | helped understand:1 | understand broader:1 | broader context:1 | context assessment:1 | assessment support:1 | support planning:1 | direct client:1 | client contact:1 | contact evidence:1 | evidence based:1 | based intervention:1 | learned direct:1,documentation:1 | repetitive:1 | took:1 | away:1 | direct:1 | learning:1 | little:1 | opportunities:1 | policy:1 | change:1 | implementation:1 | first:1 | weeks:1 | unstructured:1,documentation repetitive:1 | repetitive took:1 | took away:1 | away direct:1 | direct learning:1 | little opportunities:1 | opportunities policy:1 | policy change:1 | change implementation:1 | first weeks:1 | weeks unstructured:1,4.67,5.0,4.67,4.33,4.0,3.67,4.67,4.67,4.33,3.33,4.33,4.33,4.33,4.33,0.1531,0.5106,0.7188,91.49,85.99,88.31,85.78,86.49,91.28,90.15,84.38,88.53
stepping stones,Stepping Stones,11,sufficient,4.14,3.88,stable,25.0,0.73,0.4007,88.31,0,no flag,no flag,0.6522,0.0575,9.1,9.1,9.1,27.3,18.2,9.1,0.0,18.2,45.5,18.2,9.1,0.0,see:4 | support:3 | practicum:3 | work:3 | questions:2 | experiences:2 | opportunity:2 | included:2 | resource:2 | documentation:2 | instead:2 | observing:2 | learning:2 | intervention:2 | planning:2 | appreciated:2 | helped:2 | practice:2 | having:1 | unparalleled:1,having unparalleled:1 | unparalleled support:1 | support regards:1 | regards questions:1 | questions needing:1 | needing answered:1 | answered whether:1 | whether ethical:1 | ethical questions:1 | questions support:1 | support clinician:1 | clinician language:1 | language lingo:1 | lingo advice:1 | advice regarding:1,than:3 | helping:2 | work:2 | need:2 | process:2 | think:2 | ssbh:2 | learning:2 | weeks:2 | observational:2 | active:2 | fewer:2 | honestly:1 | program:1 | director:1 | guiding:1 | training:1 | certain:1 | send:1 | inpatient:1,weeks observational:2 | observational than:2 | than active:2 | honestly program:1 | program director:1 | director guiding:1 | guiding training:1 | training certain:1 | certain helping:1 | helping send:1 | send inpatient:1 | inpatient applications:1 | applications patients:1 | patients rois:1 | rois expects:1,4.18,4.45,4.45,4.09,4.18,3.73,4.55,3.91,4.45,3.45,4.45,4.09,4.36,4.36,0.3286,0.4686,0.4968,88.14,90.94,88.27,89.18,85.55,87.68,89.61,88.32,87.12
missoula aging services,Missoula Aging Services,9,sufficient,4.15,3.6,declining,25.3,0.89,0.4257,90.19,0,no flag,no flag,0.6814,0.1704,55.6,12.5,11.1,25.0,22.2,37.5,11.1,25.0,22.2,25.0,11.1,0.0,learn:3 | meetings:3 | coordination:2 | debrief:2 | experience:2 | out:2 | supervision:2 | practice:2 | client:2 | appreciated:2 | documentation:2 | support:2 | non:2 | profit:2 | administration:2 | practicum:2 | line:2 | safety:1 | planning:1 | court:1,non profit:2 | profit administration:2 | learn safety:1 | safety planning:1 | planning court:1 | court related:1 | related prep:1 | prep cps:1 | cps coordination:1 | coordination debrief:1 | gaining experience:1 | experience population:1 | population like:1 | like work:1 | work pushing:1,hardest:3 | work:3 | practice:2 | tasks:2 | practicum:2 | position:2 | bit:2 | valuable:2 | experience:2 | shadowing:1 | needed:1 | chances:1 | try:1 | skills:1 | inconsistent:1 | supervision:1 | documentation:1 | took:1 | away:1 | direct:1,valuable experience:2 | hardest shadowing:1 | shadowing needed:1 | inconsistent supervision:1 | documentation took:1 | took away:1 | away direct:1 | direct practice:1 | practice work:1 | work administrative:1 | administrative than:1 | than expected:1 | honestly stands:1 | stands out:1 | out unhelpful:1,4.22,3.89,3.89,3.78,3.89,3.78,3.67,4.11,3.89,3.89,4.22,3.78,4.44,4.44,0.431,0.2591,0.5868,89.85,90.35,89.14,90.07,89.38,90.48,93.12,89.51,89.86
missoula senior citizens center,Missoula Senior Citizens Center,9,sufficient,4.16,4.87,improving,20.7,0.89,0.3697,88.95,0,no flag,no flag,0.3408,0.1228,33.3,0.0,22.2,14.3,0.0,14.3,0.0,0.0,44.4,14.3,11.1,0.0,gave:4 | practice:4 | helped:4 | like:2 | meetings:2 | connected:2 | debriefing:2 | experience:2 | understand:2 | client:2 | resource:2 | referrals:2 | mezzo:2 | macro:2 | placement:1 | room:1 | grow:1 | included:1 | regular:1 | check:1,helped understand:2 | resource referrals:2 | mezzo macro:2 | macro practice:2 | like placement:1 | placement gave:1 | gave room:1 | room grow:1 | grow included:1 | included meetings:1 | meetings regular:1 | regular check:1 | check ins:1 | ins liked:1 | liked seeing:1,clearer:2 | work:2 | slow:1 | periods:1 | fewer:1 | tasks:1 | learning:1 | plan:1 | start:1 | help:1 | admin:1 | enough:1 | hands:1 | practice:1 | limited:1 | opportunity:1 | deeper:1 | counseling:1 | therapeutic:1 | onboarding:1,slow periods:1 | periods fewer:1 | fewer tasks:1 | clearer learning:1 | learning plan:1 | plan start:1 | start help:1 | admin work:1 | limited opportunity:1 | opportunity deeper:1 | deeper counseling:1 | counseling therapeutic:1 | therapeutic work:1 | onboarding process:1 | process clearer:1,4.44,4.33,4.56,4.44,4.67,4.11,4.67,4.11,4.22,3.56,4.56,4.33,4.0,4.33,0.2404,0.403,0.7415,88.07,88.93,88.36,90.31,87.96,88.59,90.21,90.02,88.11
missoula food bank,Missoula Food Bank,14,sufficient,4.17,4.0,stable,21.9,0.79,0.3535,89.28,0,no flag,no flag,0.4717,0.0483,50.0,7.1,21.4,7.1,0.0,28.6,7.1,21.4,21.4,14.3,35.7,0.0,work:8 | systems:4 | clients:4 | documentation:3 | community:3 | meetings:3 | helped:3 | different:3 | appreciated:2 | exposure:2 | biggest:2 | help:2 | testimony:2 | prep:2 | stakeholder:2 | build:2 | confidence:2 | levels:2 | practice:2 | able:2,community testimony:2 | testimony prep:2 | stakeholder meetings:2 | build confidence:2 | able work:2 | work clients:2 | clients feeling:2 | feeling supported:2 | social work:2 | appreciated real:1 | real exposure:1 | exposure documentation:1 | documentation case:1 | case management:1 | help work:1,went:3 | work:3 | fewer:2 | tasks:2 | educational:2 | times:2 | first:2 | hardest:2 | paperwork:2 | instead:2 | actual:2 | practice:2 | msw:2 | honestly:1 | needed:1 | client:1 | contact:1 | office:1 | practicum:1 | reactive:1,hardest went:2 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | honestly needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | tasks practicum:1 | practicum reactive:1 | reactive than:1 | than educational:1 | went meeting:1,4.14,4.29,4.5,4.21,4.43,4.14,4.0,4.14,4.07,4.0,4.21,4.21,4.14,4.29,0.4289,0.3648,0.454,88.96,93.11,89.3,89.45,88.55,89.4,89.18,88.83,86.77
kayenta health center,Kayenta  Health Center,5,sufficient,4.2,4.0,stable,19.4,1.0,0.339,88.89,0,no flag,no flag,0.3055,-0.1632,60.0,0.0,40.0,0.0,20.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,helped:2 | perspective:2 | feedback:2 | work:2 | environment:2 | learn:1 | outreach:1 | housing:1 | search:1 | support:1 | debrief:1 | observing:1 | counselors:1 | discussing:1 | session:1 | afterwards:1 | consistent:1 | supervision:1 | exposure:1 | crisis:1,helped learn:1 | learn outreach:1 | outreach housing:1 | housing search:1 | search support:1 | support debrief:1 | observing counselors:1 | counselors discussing:1 | discussing perspective:1 | perspective session:1 | session afterwards:1 | consistent supervision:1 | supervision feedback:1 | feedback exposure:1 | exposure crisis:1,slow:2 | hard:1 | knowing:1 | meeting:1 | expectations:1 | counseling:1 | department:1 | intake:1 | form:1 | treatments:1 | plans:1 | biopsychosocial:1 | document:1 | counselors:1 | modify:1 | left:1 | confused:1 | version:1 | use:1 | wanted:1,hard knowing:1 | knowing meeting:1 | meeting expectations:1 | counseling department:1 | department intake:1 | intake form:1 | form treatments:1 | treatments plans:1 | plans biopsychosocial:1 | biopsychosocial document:1 | document counselors:1 | counselors modify:1 | modify left:1 | left confused:1 | confused version:1,4.6,4.4,4.4,4.6,3.6,4.2,4.2,4.4,4.2,4.4,4.4,3.8,4.6,3.8,0.2229,0.5872,0.7424,89.0,87.97,89.94,88.44,88.59,89.23,91.82,86.34,88.64
recreate nz,Recreate Nz,3,sufficient,4.2,,stable,18.3,1.0,0.2724,87.76,0,no flag,no flag,0.5234,-0.1664,33.3,0.0,66.7,0.0,0.0,0.0,0.0,0.0,66.7,66.7,0.0,33.3,direct:2 | assessment:2 | planning:2 | practice:2 | client:1 | engagement:1 | family:1 | systems:1 | thinking:1 | helped:1 | understand:1 | broader:1 | context:1 | support:1 | see:1 | intervention:1 | evaluation:1 | work:1 | together:1 | learned:1,direct client:1 | client engagement:1 | family systems:1 | systems thinking:1 | thinking helped:1 | helped understand:1 | understand broader:1 | broader context:1 | context assessment:1 | assessment support:1 | support planning:1 | planning see:1 | see assessment:1 | assessment intervention:1 | intervention evaluation:1,background:2 | learning:2 | coworkers:1 | without:1 | social:1 | work:1 | believe:1 | benefited:1 | experience:1 | working:1 | directly:1 | people:1 | similar:1 | educational:1 | limited:1 | macro:1 | policy:1 | focused:1 | onboarding:1 | process:1,coworkers without:1 | without social:1 | social work:1 | work background:1 | background believe:1 | believe benefited:1 | benefited learning:1 | learning experience:1 | experience working:1 | working directly:1 | directly people:1 | people similar:1 | similar educational:1 | educational background:1 | limited macro:1,4.0,4.33,5.0,4.67,4.33,4.67,4.67,4.0,4.67,3.67,4.67,4.33,4.33,4.0,0.0,,0.7327,80.29,84.62,89.63,91.76,87.75,84.97,89.35,90.05,91.41
clark fork valley hospital & family medicine network,Clark Fork Valley Hospital & Family Medicine Network,9,sufficient,4.22,4.8,improving,18.6,0.78,0.3731,89.79,0,no flag,no flag,0.4421,0.077,11.1,0.0,22.2,0.0,11.1,25.0,0.0,12.5,44.4,12.5,44.4,0.0,community:3 | helped:3 | case:2 | management:2 | coordination:2 | clients:2 | practice:2 | support:2 | working:2 | team:2 | meetings:2 | instead:2 | learned:1 | service:1 | connecting:1 | resources:1 | apply:1 | strengths:1 | perspective:1 | real:1,case management:2 | team meetings:2 | learned case:1 | management service:1 | service coordination:1 | coordination connecting:1 | connecting clients:1 | clients community:1 | community resources:1 | resources helped:1 | helped apply:1 | apply strengths:1 | strengths perspective:1 | perspective practice:1 | real exposure:1,paperwork:2 | school:2 | figure:2 | out:2 | own:2 | necessary:1 | repetitive:1 | limit:1 | active:1 | learning:1 | honestly:1 | went:1 | instead:1 | actual:1 | practice:1 | experience:1 | positive:1 | enough:1 | balancing:1 | doing:1,figure out:2 | out own:2 | paperwork necessary:1 | necessary repetitive:1 | repetitive limit:1 | limit active:1 | active learning:1 | honestly went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | experience positive:1 | enough balancing:1 | balancing school:1,4.11,4.33,4.22,3.89,4.11,3.56,4.33,3.78,4.11,4.22,4.44,4.0,4.11,4.33,0.507,0.4973,0.3423,88.73,90.95,92.5,90.24,87.68,90.08,91.99,88.2,87.78
helena valley addiction services,Helena Valley Addiction Services,11,sufficient,4.22,4.9,improving,22.9,0.82,0.3661,90.29,0,no flag,no flag,0.5912,-0.054,9.1,9.1,18.2,18.2,18.2,18.2,9.1,0.0,54.5,18.2,9.1,0.0,work:5 | understanding:3 | experience:3 | help:2 | resource:2 | assessments:2 | learning:2 | clients:2 | intakes:2 | program:2 | appreciated:2 | strengthened:2 | generalist:2 | practice:2 | across:2 | systems:2 | intervention:2 | evaluation:2 | safe:1 | environment:1,strengthened understanding:2 | understanding generalist:2 | generalist practice:2 | practice across:2 | across systems:2 | safe environment:1 | environment fosters:1 | fosters growth:1 | growth understanding:1 | help work:1 | work health:1 | health fairs:1 | fairs resource:1 | resource education:1 | education community:1,work:4 | times:4 | pronouns:3 | communication:3 | enough:2 | second:2 | field:2 | instructor:2 | use:2 | difficult:2 | regarding:2 | issues:2 | educational:2 | want:2 | career:2 | virtual:2 | worked:2 | reduce:2 | immediacy:2 | informal:2,second field:2 | field instructor:2 | use pronouns:2 | want career:2 | virtual communication:2 | communication worked:2 | worked reduce:2 | reduce immediacy:2 | immediacy informal:2 | informal support:2 | admin work:1 | homophobic transphobic:1 | transphobic language:1 | language used:1 | used second:1,4.27,4.18,4.64,4.0,4.36,4.18,4.27,4.27,3.91,4.18,4.0,4.27,4.73,3.91,0.5516,0.3088,0.433,91.06,93.17,91.25,90.16,89.93,89.98,90.59,88.85,87.65
cameron r-1 school district,Cameron R-1 School District,19,sufficient,4.25,4.73,improving,19.2,0.74,0.3259,89.66,0,no flag,no flag,0.532,-0.0643,15.8,20.0,15.8,20.0,0.0,20.0,5.3,6.7,47.4,13.3,42.1,0.0,work:7 | helped:7 | systems:5 | practice:5 | community:4 | connected:3 | social:3 | learning:3 | connect:3 | support:3 | care:3 | seeing:3 | outreach:2 | real:2 | planning:2 | groups:2 | working:2 | interdisciplinary:2 | team:2 | understand:2,support groups:2 | working interdisciplinary:2 | interdisciplinary team:2 | team helped:2 | helped understand:2 | understand social:2 | social work:2 | work communicates:2 | communicates within:2 | within larger:2 | larger systems:2 | systems care:2 | build confidence:2 | helped work:2 | connect class:2,work:3 | practice:3 | occasionally:2 | admin:2 | enough:2 | hands:2 | continuity:2 | needed:2 | clearer:2 | harder:2 | busy:2 | difficult:2 | meet:2 | frequent:1 | changes:1 | agency:1 | needs:1 | interrupted:1 | learning:1 | flow:1,admin work:2 | frequent changes:1 | changes agency:1 | agency needs:1 | needs occasionally:1 | occasionally interrupted:1 | interrupted learning:1 | learning flow:1 | documentation important:1 | important occasionally:1 | occasionally overshadowed:1 | overshadowed client:1 | client interaction:1 | brief contact:1 | contact educational:1,3.68,4.16,4.42,3.95,4.16,4.05,4.16,4.21,3.95,4.22,4.11,4.26,4.26,4.42,0.3612,0.3449,0.4555,90.99,90.88,89.89,89.07,87.8,90.12,90.59,87.86,89.7
davidson college,Davidson College,5,sufficient,4.28,3.8,declining,17.2,0.8,0.3537,90.68,0,no flag,no flag,0.4055,0.2414,40.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,60.0,0.0,practice:3 | helped:2 | policy:2 | see:1 | systems:1 | advocacy:1 | housing:1 | coalition:1 | meetings:1 | close:1 | understand:1 | better:1 | consistent:1 | supervision:1 | feedback:1 | exposure:1 | treatment:1 | planning:1 | understanding:1 | program:1,policy practice:2 | helped see:1 | see systems:1 | systems advocacy:1 | advocacy housing:1 | housing coalition:1 | coalition meetings:1 | meetings close:1 | close helped:1 | helped understand:1 | understand policy:1 | practice better:1 | consistent supervision:1 | supervision feedback:1 | feedback exposure:1,honestly:1 | went:1 | paperwork:1 | instead:1 | actual:1 | practice:1 | placement:1 | improve:1 | onboarding:1 | students:1 | navigating:1 | bureaucratic:1 | systems:1 | long:1 | approval:1 | processes:1 | changing:1 | new:1 | supervisor:1 | halfway:1,honestly went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | placement improve:1 | improve onboarding:1 | onboarding students:1 | navigating bureaucratic:1 | bureaucratic systems:1 | systems long:1 | long approval:1 | approval processes:1 | changing new:1 | new supervisor:1,4.0,4.2,3.8,4.4,4.4,3.4,4.4,3.4,3.6,4.2,4.0,4.0,4.8,4.4,0.291,0.2553,0.5754,87.67,90.85,89.99,91.84,89.24,88.41,93.92,93.75,90.48
